ci95_high,ci95_low,mean,method,metric,n,observation_dropout,std
1,1,1,cigma,asset_f1,32,0,0
1,1,1,cigma,entity_f1,32,0,0
1,1,1,cigma,b3_f1,32,0,0
1,1,1,cigma,edge_f1,32,0,0
0,0,0,cigma,critical_miss_rate,32,0,0
0.8947838492,0.8947838492,0.8947838492,cigma,ndcg_at_5_primary,32,0,0
0.8984066788,0.8984066788,0.8984066788,cigma,ndcg_at_10_primary,32,0,0
0.273719931,0.273719931,0.273719931,cigma,kendall_tau_b_primary,32,0,0
0.02278806047,0.02278806047,0.02278806047,cigma,edge_brier,32,0,0
0.09851159419,0.09851159419,0.09851159419,cigma,urgency_brier,32,0,0
0.8846153846,0.8846153846,0.8846153846,exact_direct,asset_f1,32,0,0
0.8787878788,0.8787878788,0.8787878788,exact_direct,entity_f1,32,0,0
0.9418837675,0.9418837675,0.9418837675,exact_direct,b3_f1,32,0,0
0.8923076923,0.8923076923,0.8923076923,exact_direct,edge_f1,32,0,0
0,0,0,exact_direct,critical_miss_rate,32,0,0
0.8947838492,0.8947838492,0.8947838492,exact_direct,ndcg_at_5_primary,32,0,0
0.8028461388,0.8028461388,0.8028461388,exact_direct,ndcg_at_10_primary,32,0,0
0.22184804,0.22184804,0.22184804,exact_direct,kendall_tau_b_primary,32,0,0
0.01752874284,0.01752874284,0.01752874284,exact_direct,edge_brier,32,0,0
0.3076902777,0.3076902777,0.3076902777,exact_direct,urgency_brier,32,0,0
0.6666666667,0.6666666667,0.6666666667,source_union,asset_f1,32,0,0
0,0,0,source_union,entity_f1,32,0,0
0.6865671642,0.6865671642,0.6865671642,source_union,b3_f1,32,0,0
0.8529411765,0.8529411765,0.8529411765,source_union,edge_f1,32,0,0
0,0,0,source_union,critical_miss_rate,32,0,0
0.9434732991,0.9434732991,0.9434732991,source_union,ndcg_at_5_primary,32,0,0
0.806817735,0.806817735,0.806817735,source_union,ndcg_at_10_primary,32,0,0
0.1204317931,0.1204317931,0.1204317931,source_union,kendall_tau_b_primary,32,0,0
0.02157103907,0.02157103907,0.02157103907,source_union,edge_brier,32,0,0
0.4767909208,0.4767909208,0.4767909208,source_union,urgency_brier,32,0,0
0.9782213716,0.9577653114,0.9683618532,cigma,asset_f1,32,0.1,0.03012425633
1,1,1,cigma,entity_f1,32,0.1,0
1,1,1,cigma,b3_f1,32,0.1,0
0.8656859751,0.8200461964,0.8430191977,cigma,edge_f1,32,0.1,0.06767759138
0.0703125,0.029296875,0.048828125,cigma,critical_miss_rate,32,0.1,0.0609368538
0.8866793945,0.8529186427,0.8696650638,cigma,ndcg_at_5_primary,32,0.1,0.04863263619
0.9039764013,0.8839430087,0.8940596326,cigma,ndcg_at_10_primary,32,0.1,0.02928648634
0.2717546719,0.1909715318,0.2326507808,cigma,kendall_tau_b_primary,32,0.1,0.116724252
0.02264276765,0.02092505167,0.0217759916,cigma,edge_brier,32,0.1,0.002533437299
0.3582219429,0.2857856435,0.3214777352,cigma,urgency_brier,32,0.1,0.1081816223
0.8760440437,0.855212111,0.8660287763,exact_direct,asset_f1,32,0.1,0.03051203648
0.889068653,0.8667922757,0.8780542277,exact_direct,entity_f1,32,0.1,0.03264551075
0.9480605185,0.9421959645,0.9450930248,exact_direct,b3_f1,32,0.1,0.008682782052
0.7819182702,0.7401170399,0.7615870068,exact_direct,edge_f1,32,0.1,0.06076911992
0.0703125,0.029296875,0.048828125,exact_direct,critical_miss_rate,32,0.1,0.0609368538
0.8540555697,0.8063644184,0.830334109,exact_direct,ndcg_at_5_primary,32,0.1,0.06900819921
0.809595646,0.7765756037,0.7927832069,exact_direct,ndcg_at_10_primary,32,0.1,0.04758950846
0.1622871191,0.09037401013,0.1260486486,exact_direct,kendall_tau_b_primary,32,0.1,0.1058234292
0.01851127225,0.01669315345,0.01760896391,exact_direct,edge_brier,32,0.1,0.002611900404
0.4827886067,0.4348797004,0.4582858204,exact_direct,urgency_brier,32,0.1,0.06929326067
0.6832185076,0.6610800693,0.6724466695,source_union,asset_f1,32,0.1,0.03214969299
0,0,0,source_union,entity_f1,32,0.1,0
0.7153136429,0.6987039504,0.7068904136,source_union,b3_f1,32,0.1,0.02448144171
0.7579073446,0.7185214063,0.7386203966,source_union,edge_f1,32,0.1,0.0571266968
0.0703125,0.029296875,0.048828125,source_union,critical_miss_rate,32,0.1,0.0609368538
0.8612577871,0.8042493223,0.8336849404,source_union,ndcg_at_5_primary,32,0.1,0.08269139464
0.7898384794,0.7600516514,0.7750695445,source_union,ndcg_at_10_primary,32,0.1,0.0441674145
0.05077292638,-0.01943483629,0.01536596734,source_union,kendall_tau_b_primary,32,0.1,0.1046913602
0.02233222071,0.02032343111,0.0213482828,source_union,edge_brier,32,0.1,0.00291581744
0.5643549132,0.5383109658,0.5504027648,source_union,urgency_brier,32,0.1,0.03816033383
0.928693037,0.8983141277,0.9135061964,cigma,asset_f1,32,0.25,0.04452898412
1,1,1,cigma,entity_f1,32,0.25,0
1,1,1,cigma,b3_f1,32,0.25,0
0.6221808383,0.5396167253,0.5809441541,cigma,edge_f1,32,0.25,0.1203834429
0.1875,0.12890625,0.158203125,cigma,critical_miss_rate,32,0.25,0.08397924661
0.8649333626,0.8131212483,0.8392418075,cigma,ndcg_at_5_primary,32,0.25,0.0767137351
0.8788515056,0.8485719285,0.8642417532,cigma,ndcg_at_10_primary,32,0.25,0.04400420095
0.1959300742,0.08280788112,0.1402659372,cigma,kendall_tau_b_primary,32,0.25,0.1660119285
0.02092237741,0.01762691825,0.0193118949,cigma,edge_brier,32,0.25,0.005015626739
0.6289880285,0.5518778915,0.5915496681,cigma,urgency_brier,32,0.25,0.1139686838
0.8468439793,0.8118734029,0.8291901592,exact_direct,asset_f1,32,0.25,0.05173585345
0.884981272,0.8342360223,0.8603342513,exact_direct,entity_f1,32,0.25,0.07523150288
0.9535166478,0.9416642462,0.9476841066,exact_direct,b3_f1,32,0.25,0.01728728237
0.5767788688,0.5067959667,0.541478319,exact_direct,edge_f1,32,0.25,0.1044962524
0.1875,0.130859375,0.158203125,exact_direct,critical_miss_rate,32,0.25,0.08397924661
0.7986995092,0.7159650998,0.7586710927,exact_direct,ndcg_at_5_primary,32,0.25,0.1221427575
0.7988436469,0.7485404631,0.7734703209,exact_direct,ndcg_at_10_primary,32,0.25,0.07331419085
0.08649043134,-0.01565971388,0.03492511218,exact_direct,kendall_tau_b_primary,32,0.25,0.1528394414
0.01883668698,0.01517768164,0.01698499844,exact_direct,edge_brier,32,0.25,0.005387006278
0.6314626794,0.5794746014,0.6053857829,exact_direct,urgency_brier,32,0.25,0.07557065154
0.6877291181,0.6584961193,0.6727882828,source_union,asset_f1,32,0.25,0.04279482336
0,0,0,source_union,entity_f1,32,0.25,0
0.7509001966,0.7286623973,0.7393719618,source_union,b3_f1,32,0.25,0.0321655461
0.5714314575,0.5021115424,0.5362786487,source_union,edge_f1,32,0.25,0.1032721537
0.1875,0.130859375,0.158203125,source_union,critical_miss_rate,32,0.25,0.08397924661
0.7980542719,0.7230687803,0.7618024557,source_union,ndcg_at_5_primary,32,0.25,0.1089324081
0.7757027673,0.7286057912,0.7520446958,source_union,ndcg_at_10_primary,32,0.25,0.06843687926
0.03760185247,-0.0663029879,-0.01454367602,source_union,kendall_tau_b_primary,32,0.25,0.1532562053
0.02339501299,0.01931407809,0.02131771496,source_union,edge_brier,32,0.25,0.005995527769
0.6691178347,0.6293270404,0.6487442267,source_union,urgency_brier,32,0.25,0.05885621782
0.8261127182,0.7883911549,0.8075372598,cigma,asset_f1,32,0.5,0.05554520697
1,1,1,cigma,entity_f1,32,0.5,0
1,1,1,cigma,b3_f1,32,0.5,0
0.2435792943,0.1799797281,0.2100678773,cigma,edge_f1,32,0.5,0.09264235288
0.361328125,0.291015625,0.326171875,cigma,critical_miss_rate,32,0.5,0.1037774145
0.781148888,0.7301465891,0.756371036,cigma,ndcg_at_5_primary,32,0.5,0.07708520517
0.8309856132,0.7984042433,0.8148141441,cigma,ndcg_at_10_primary,32,0.5,0.04804489834
0.06073333476,-0.05413049327,0.003028396787,cigma,kendall_tau_b_primary,32,0.5,0.1678537635
0.0218012281,0.01478147648,0.01827409878,cigma,edge_brier,32,0.5,0.01031829059
0.8169068823,0.7798081658,0.7996095943,cigma,urgency_brier,32,0.5,0.05450315273
0.7809144299,0.7403938218,0.7610023809,exact_direct,asset_f1,32,0.5,0.06039461176
0.9122759288,0.8433974895,0.8792695306,exact_direct,entity_f1,32,0.5,0.1008373037
0.9731421144,0.9562169589,0.9648303538,exact_direct,b3_f1,32,0.5,0.02475569693
0.2336789257,0.1760715765,0.2039847545,exact_direct,edge_f1,32,0.5,0.0859381336
0.361328125,0.291015625,0.326171875,exact_direct,critical_miss_rate,32,0.5,0.1037774145
0.6950884019,0.6169586779,0.6572004793,exact_direct,ndcg_at_5_primary,32,0.5,0.120034061
0.7549446665,0.6982306733,0.72696034,exact_direct,ndcg_at_10_primary,32,0.5,0.08397973316
-0.01790026587,-0.1220943977,-0.07143561339,exact_direct,kendall_tau_b_primary,32,0.5,0.1488894145
