analysis,baseline,ci_high,ci_low,mean,mean_difference,method,metric,n,observation_dropout,permutation_p
bootstrap_mean,,1,1,1,,cigma,asset_f1,32,0,
bootstrap_mean,,1,1,1,,cigma,entity_f1,32,0,
bootstrap_mean,,1,1,1,,cigma,edge_f1,32,0,
bootstrap_mean,,0.8947838492,0.8947838492,0.8947838492,,cigma,ndcg_primary,32,0,
bootstrap_mean,,0.8846153846,0.8846153846,0.8846153846,,exact_direct,asset_f1,32,0,
bootstrap_mean,,0.8787878788,0.8787878788,0.8787878788,,exact_direct,entity_f1,32,0,
bootstrap_mean,,0.8923076923,0.8923076923,0.8923076923,,exact_direct,edge_f1,32,0,
bootstrap_mean,,0.8947838492,0.8947838492,0.8947838492,,exact_direct,ndcg_primary,32,0,
bootstrap_mean,,0.6666666667,0.6666666667,0.6666666667,,source_union,asset_f1,32,0,
bootstrap_mean,,0,0,0,,source_union,entity_f1,32,0,
bootstrap_mean,,0.8529411765,0.8529411765,0.8529411765,,source_union,edge_f1,32,0,
bootstrap_mean,,0.9434732991,0.9434732991,0.9434732991,,source_union,ndcg_primary,32,0,
bootstrap_mean,,0.9782213716,0.9577653114,0.9683618532,,cigma,asset_f1,32,0.1,
bootstrap_mean,,1,1,1,,cigma,entity_f1,32,0.1,
bootstrap_mean,,0.8656859751,0.8200461964,0.8430191977,,cigma,edge_f1,32,0.1,
bootstrap_mean,,0.8859237911,0.852868128,0.8696650638,,cigma,ndcg_primary,32,0.1,
bootstrap_mean,,0.8760440437,0.855212111,0.8660287763,,exact_direct,asset_f1,32,0.1,
bootstrap_mean,,0.889068653,0.8667922757,0.8780542277,,exact_direct,entity_f1,32,0.1,
bootstrap_mean,,0.7819182702,0.7401170399,0.7615870068,,exact_direct,edge_f1,32,0.1,
bootstrap_mean,,0.8546865031,0.8065663209,0.830334109,,exact_direct,ndcg_primary,32,0.1,
bootstrap_mean,,0.6832185076,0.6610800693,0.6724466695,,source_union,asset_f1,32,0.1,
bootstrap_mean,,0,0,0,,source_union,entity_f1,32,0.1,
bootstrap_mean,,0.7579073446,0.7185214063,0.7386203966,,source_union,edge_f1,32,0.1,
bootstrap_mean,,0.8614605306,0.8051531106,0.8336849404,,source_union,ndcg_primary,32,0.1,
bootstrap_mean,,0.928693037,0.8983141277,0.9135061964,,cigma,asset_f1,32,0.25,
bootstrap_mean,,1,1,1,,cigma,entity_f1,32,0.25,
bootstrap_mean,,0.6221808383,0.5396167253,0.5809441541,,cigma,edge_f1,32,0.25,
bootstrap_mean,,0.8649481968,0.8126462765,0.8392418075,,cigma,ndcg_primary,32,0.25,
bootstrap_mean,,0.8468439793,0.8118734029,0.8291901592,,exact_direct,asset_f1,32,0.25,
bootstrap_mean,,0.884981272,0.8342360223,0.8603342513,,exact_direct,entity_f1,32,0.25,
bootstrap_mean,,0.5767788688,0.5067959667,0.541478319,,exact_direct,edge_f1,32,0.25,
bootstrap_mean,,0.8004727849,0.7161297538,0.7586710927,,exact_direct,ndcg_primary,32,0.25,
bootstrap_mean,,0.6877291181,0.6584961193,0.6727882828,,source_union,asset_f1,32,0.25,
